t,y,u,ref,a1_est,a2_est,b1_est,b2_est,Kp,Ki,Kd
7.94,4.963047827115964e-07,3.013758154560045e-06,0.0,-2.006155187336542,0.999848224261329,0.00029192423918066295,0.00029292622316188935,58.04626789429531,61.64657981113755,10.959391966424453
7.96,4.710970900423629e-07,2.8563198127610476e-06,0.0,-2.006155187336542,0.999848224261329,0.00029192423918066295,0.00029292622316188935,58.04626789429531,61.64657981113755,10.959391966424453
7.98,4.4714775889582384e-07,2.7069969793964807e-06,0.0,-2.006155187336542,0.999848224261329,0.00029192423918066295,0.00029292622316188935,58.04626789429531,61.64657981113755,10.959391966424453
8.0,4.243952603215259e-07,2.5653775414945086e-06,0.0,-2.006155187336542,0.999848224261329,0.00029192423918066295,0.00029292622316188935,58.04626789429531,61.64657981113755,10.959391966424453
8.02,4.0278099700048453e-07,2.431069954505558e-06,0.0,-2.006155187336542,0.999848224261329,0.00029192423918066295,0.00029292622316188935,58.04626789429531,61.64657981113755,10.959391966424453
8.040000000000001,3.822491682503002e-07,2.303702387602031e-06,0.0,-2.006155316950325,0.9998483628400827,0.00029192450159725363,0.00029292440398209074,58.046410238499156,61.64674803041475,10.959421872073733
8.06,3.627466409089429e-07,2.1829211189206457e-06,0.0,-2.006155316950325,0.9998483628400827,0.00029192450159725363,0.00029292440398209074,58.046410238499156,61.64674803041475,10.959421872073733
8.08,3.44222826001388e-07,2.0683906387054426e-06,0.0,-2.006155316950325,0.9998483628400827,0.00029192450159725363,0.00029292440398209074,58.046410238499156,61.64674803041475,10.959421872073733
8.1,3.266295608494001e-07,1.9597921242084972e-06,0.0,-2.006155316950325,0.9998483628400827,0.00029192450159725363,0.00029292440398209074,58.046410238499156,61.64674803041475,10.959421872073733
8.120000000000001,3.099209962957695e-07,1.8568227173853058e-06,0.0,-2.006155316950325,0.9998483628400827,0.00029192450159725363,0.00029292440398209074,58.046410238499156,61.64674803041475,10.959421872073733
8.14,2.940534889884013e-07,1.7591947646397946e-06,0.0,-2.006155316950325,0.9998483628400827,0.00029192450159725363,0.00029292440398209074,58.046410238499156,61.64674803041475,10.959421872073733
8.16,2.789854984776146e-07,1.6666350739339156e-06,0.0,-2.006155316950325,0.9998483628400827,0.00029192450159725363,0.00029292440398209074,58.046410238499156,61.64674803041475,10.959421872073733
8.18,2.646774889165139e-07,1.5788842027425052e-06,0.0,-2.006155316950325,0.9998483628400827,0.00029192450159725363,0.00029292440398209074,58.046410238499156,61.64674803041475,10.959421872073733
8.2,2.510918351692134e-07,1.495695779130981e-06,0.0,-2.006155316950325,0.9998483628400827,0.00029192450159725363,0.00029292440398209074,58.046410238499156,61.64674803041475,10.959421872073733
8.22,2.381927331408525e-07,1.4168358553795062e-06,0.0,-2.006155316950325,0.9998483628400827,0.00029192450159725363,0.00029292440398209074,58.046410238499156,61.64674803041475,10.959421872073733
8.24,2.2594611415078935e-07,1.3420824083503404e-06,0.0,-2.006155426329137,0.9998484797691577,0.0002919247283505796,0.0002929228288291767,58.04653382799943,61.64689364309551,10.959447758772535
