t,y,u,ref,a1_est,a2_est,b1_est,b2_est,Kp,Ki,Kd
12.44,0.00040479761400679694,0.009315777181114954,0.0,-1.952095133362522,0.9021255035019199,-3.388963155203477e-05,0.0002541055618904205,347.6758113607779,157.51805820077647,28.003210346804707
12.46,0.00029860006201730144,-0.013419293493481033,0.0,-1.952095133362522,0.9021255035019199,-3.388963155203477e-05,0.0002541055618904205,347.6758113607779,157.51805820077647,28.003210346804707
12.48,0.00020938018702135533,-0.02000778970997387,0.0,-1.952095133362522,0.9021255035019199,-3.388963155203477e-05,0.0002541055618904205,347.6758113607779,157.51805820077647,28.003210346804707
12.5,0.00012537412293157305,-0.04151952025806979,0.0,-1.952095133362522,0.9021255035019199,-3.388963155203477e-05,0.0002541055618904205,347.6758113607779,157.51805820077647,28.003210346804707
12.52,3.451598784047754e-05,-0.08259395754501409,0.0,-1.952095133362522,0.9021255035019199,-3.388963155203477e-05,0.0002541055618904205,347.6758113607779,157.51805820077647,28.003210346804707
12.540000000000001,-6.510342856016343e-05,-0.12970151845331082,0.0,-1.952095133362522,0.9021255035019199,-3.388963155203477e-05,0.0002541055618904205,347.6758113607779,157.51805820077647,28.003210346804707
12.56,-0.00016777450796766433,-0.17019913763824673,0.0,-1.952095133362522,0.9021255035019199,-3.388963155203477e-05,0.0002541055618904205,347.6758113607779,157.51805820077647,28.003210346804707
12.58,-0.0002677201295156603,-0.20197514931420135,0.0,-1.952095133362522,0.9021255035019199,-3.388963155203477e-05,0.0002541055618904205,347.6758113607779,157.51805820077647,28.003210346804707
12.6,-0.00036330397852582085,-0.2302446986233791,0.0,-1.952095133362522,0.9021255035019199,-3.388963155203477e-05,0.0002541055618904205,347.6758113607779,157.51805820077647,28.003210346804707
12.620000000000001,-0.00045603680364383545,-0.25993044838384677,0.0,-1.952095133362522,0.9021255035019199,-3.388963155203477e-05,0.0002541055618904205,347.6758113607779,157.51805820077647,28.003210346804707
12.64,-0.0005475442710881784,-1.5471739499086217,0.0,-1.9508798326930403,0.9478120245278249,-0.00011692766808654275,0.00014213092822453843,1189.083547761323,1392.2098380474927,247.50397120844315
12.66,-0.0002702211341546277,3.3394143035412007,0.0,-1.9508798326930403,0.9478120245278249,-0.00011692766808654275,0.00014213092822453843,1189.083547761323,1392.2098380474927,247.50397120844315
12.68,-0.0006931773937703927,-5.8489135740033475,0.0,-1.9508798326930403,0.9478120245278249,-0.00011692766808654275,0.00014213092822453843,1189.083547761323,1392.2098380474927,247.50397120844315
12.700000000000001,-0.0005755302573905571,0.9650278904625714,0.0,-1.9508798326930403,0.9478120245278249,-0.00011692766808654275,0.00014213092822453843,1189.083547761323,1392.2098380474927,247.50397120844315
12.72,0.0007633495022045097,17.69131883951816,0.0,-1.9508798326930403,0.9478120245278249,-0.00011692766808654275,0.00014213092822453843,1189.083547761323,1392.2098380474927,247.50397120844315
12.74,-0.0035760960016818027,-57.83862056251029,0.0,-1.9508798326930403,0.9478120245278249,-0.00011692766808654275,0.00014213092822453843,1189.083547761323,1392.2098380474927,247.50397120844315
12.76,0.003584663685124638,93.09325577193458,0.0,-1.9508798326930403,0.9478120245278249,-0.00011692766808654275,0.00014213092822453843,1189.083547761323,1392.2098380474927,247.50397120844315
